user_id,timestamp,sentiment
U101,2025-07-30,-0.17
U101,2025-07-26,-0.42
U102,2025-07-29,-0.01
U102,2025-07-12,0.07
U103,2025-07-18,-0.68
U103,2025-07-30,-0.12
U103,2025-07-16,-0.31
U104,2025-07-18,0.76
U104,2025-07-05,-0.97
U105,2025-07-22,-0.52
U105,2025-07-02,-0.21
U105,2025-07-10,0.39
U106,2025-07-12,-0.48
U106,2025-07-04,0.12
U106,2025-07-22,-0.35
U106,2025-07-27,0.17
U107,2025-07-17,0.81
U107,2025-07-06,-0.84
U107,2025-07-30,0.4
U107,2025-07-14,0.54
U107,2025-07-07,0.38
U108,2025-07-29,-0.1
U108,2025-07-24,-0.9
U109,2025-07-16,0.56
U109,2025-07-30,-0.38
U109,2025-07-29,0.02
U109,2025-07-19,-0.11
U110,2025-07-23,-0.76
U110,2025-07-21,-0.36
U110,2025-07-28,-0.39
U110,2025-07-08,-0.82
U111,2025-07-03,-0.01
U111,2025-07-20,0.63
U111,2025-07-25,0.94
U112,2025-07-26,0.45
U112,2025-07-07,-0.83
U112,2025-07-08,0.28
U112,2025-07-02,-0.3
U113,2025-07-28,-0.13
U113,2025-07-30,-0.89
U114,2025-07-11,-0.34
U114,2025-07-11,-0.06
U114,2025-07-27,0.99
U114,2025-07-11,0.66
U114,2025-07-15,0.38
U115,2025-07-14,-0.1
U115,2025-07-25,-0.31
U115,2025-07-14,0.89
U116,2025-07-10,-0.28
U116,2025-07-15,0.39
U117,2025-07-06,0.3
U117,2025-07-15,0.4
U117,2025-07-11,0.42
U117,2025-07-01,0.91
U118,2025-07-27,0.02
U118,2025-07-07,-0.32
U118,2025-07-13,-0.23
U119,2025-07-30,0.1
U119,2025-07-17,-0.24
U119,2025-07-04,-0.44
U120,2025-07-13,0.48
U120,2025-07-22,-0.54
U121,2025-07-08,0.91
U121,2025-07-27,-0.45
U121,2025-07-22,-0.29
U121,2025-07-18,-0.56
U121,2025-07-26,-0.78
U122,2025-07-12,0.14
U122,2025-07-20,-0.75
U122,2025-07-28,-0.8
U122,2025-07-04,0.87
U123,2025-07-08,-0.75
U123,2025-07-24,-0.16
U123,2025-07-06,0.35
U123,2025-07-27,0.55
U124,2025-07-28,-0.72
U124,2025-07-24,-0.08
U124,2025-07-28,0.98
U125,2025-07-09,-0.09
U125,2025-07-12,-0.74
U125,2025-07-16,-0.74
U126,2025-07-04,-0.66
U126,2025-07-16,-0.38
U126,2025-07-30,0.97
U126,2025-07-18,0.78
U127,2025-07-29,-0.17
U127,2025-07-11,0.45
U127,2025-07-17,0.21
U127,2025-07-17,-0.97
U128,2025-07-09,0.36
U128,2025-07-05,-0.38
U128,2025-07-19,0.83
U129,2025-07-05,0.63
U129,2025-07-05,0.93
U129,2025-07-25,-0.98
U130,2025-07-26,-0.17
U130,2025-07-14,0.1
U131,2025-07-05,-0.33
U131,2025-07-28,0.06
U131,2025-07-07,0.28
U132,2025-07-09,0.0
U132,2025-07-14,0.81
U132,2025-07-06,-0.4
U132,2025-07-16,-0.99
U133,2025-07-08,-0.85
U133,2025-07-21,0.32
U133,2025-07-28,-0.02
U133,2025-07-12,0.8
U134,2025-07-06,-0.99
U134,2025-07-28,-0.68
U134,2025-07-06,-0.95
U134,2025-07-28,0.42
U135,2025-07-16,-0.59
U135,2025-07-23,0.12
U136,2025-07-23,-0.27
U136,2025-07-22,-0.78
U136,2025-07-07,-0.6
U137,2025-07-20,0.41
U137,2025-07-16,-0.92
U137,2025-07-01,-0.14
U137,2025-07-17,-0.07
U138,2025-07-20,0.79
U138,2025-07-04,0.13
U138,2025-07-15,0.9
U138,2025-07-14,0.64
U139,2025-07-06,0.62
U139,2025-07-18,-0.91
U139,2025-07-05,-0.34
U139,2025-07-15,-0.05
U139,2025-07-14,0.17
